balancedBST21,52,0,0,166,182,,4,57.3,1,0.1
balancedBST22,50,0,0,158,213,,3,51.8,1,0.0
balancedBST22_1,49,3,2,124,199,,12,47.1,3,0.1
balancedBST22_2,54,6,3,118,209,,1,98,10,0.2
balancedBST22_3,57,5,5,74,199,,4,75.7,16,0.6
bempl,51,1,2,7,14,,X,1.9,X,0.0
cd1,27,1,1,33,44,,2,0.8,1,0.0
cd1_1,27,1,2,31,44,,1,1.8,1,0.0
cd2,27,1,1,25,35,,1,0.5,1,0.0
cd3,26,1,1,32,43,,2,0.7,1,0.0
cd3_1,26,1,1,31,46,,4,1,1,0.0
ctree,30,1,1,5,49,,X,4.2,X,0.0
dll1,37,1,3,63,77,,1,7.3,1,0.1
dll1_1,38,2,1,57,86,,X,0.2,3,0.1
dll2,42,1,3,63,77,,1,7.3,1,0.1
dll2_1,42,2,1,57,82,,1,7.8,2,0.0
dll3,37,5,4,59,80,,1,7.4,1,0.1
dll3_1,37,2,1,49,75,,3,14.9,1,0.1
dll3_2,36,2,1,67,75,,1,13.2,X,0.0
dll4,37,1,3,67,81,,1,8.3,1,0.1
dll5,39,0,0,0,108,,X,0.2,X,0.1
dll5_1,39,1,3,80,102,,1,9.2,1,0.1
dll6,36,1,3,94,113,,3,9.3,1,0.2
dll6_1,37,0,0,0,138,,X,0.3,X,0.0
dll7,38,0,0,79,90,,1,7.4,1,0.1
dll7_1,36,1,3,59,73,,1,7.1,1,0.0
dll8,36,1,3,76,96,,3,9.8,1,0.1
dll9,38,2,1,91,100,,2,10.8,1,0.1
dll10,40,0,0,85,91,,1,6,1,0.1
dll11,36,1,3,68,87,,3,8.9,1,0.1
dll12,36,1,3,63,77,,1,7.3,1,0.1
dll13,36,2,3,51,60,,1,11.6,1,0.0
dll14,39,0,0,91,102,,1,7.4,1,0.1
dll14_1,37,1,3,71,85,,1,7.3,1,0.1
dll15,40,1,3,107,126,,3,13.6,1,0.1
dll15_1,41,0,0,0,135,,X,9.7,X,0.0
dll16,36,1,3,68,82,,1,7.4,1,0.0
dll17,37,0,0,83,89,,1,6.8,1,0.1
dll17_1,36,1,3,63,77,,1,7.3,1,0.1
dll17_2,36,2,1,57,82,,1,7.8,2,0.0
dll18,36,3,2,84,102,,3,14.2,1,0.0
dll18_1,36,2,3,67,101,,3,103.8,1,0.1
dll18_2,36,1,3,71,107,,1,44.2,3,0.6
dll18_3,36,2,1,78,103,,1,29.5,2,0.0
dll19,36,1,3,63,83,,1,7.7,2,0.1
dll20,36,4,4,64,90,,4,8.3,1,0.0
dll20_1,36,1,3,68,88,,1,8.3,2,0.1
dll20_2,36,2,1,47,88,,1,7.6,2,0.0
fsm1,31,0,0,71,90,,1,1.6,1,0.0
fsm1_1,30,2,1,19,90,,1,2.9,1,0.0
fsm2,29,2,1,14,70,,1,2.8,4,0.0
fsm3,60,0,0,56,67,,1,2.7,1,0.0
fsm4,31,2,3,39,141,,3,4.7,3,0.0
fsm4_1,31,0,0,0,141,,X,0,X,0.0
fsm5,29,0,0,0,81,,X,0,X,0.0
fsm5_1,29,0,0,0,82,,X,0,X,0.0
fsm5_2,29,2,2,17,69,,9,2.1,3,0.0
fsm6,29,2,2,17,98,,16,3,2,0.1
fsm7,29,2,2,14,64,,13,2.6,6,0.1
fsm7_1,29,2,2,14,59,,9,2.6,1,0.0
fsm8,29,3,1,14,71,,14,2.7,4,0.1
fsm9,30,0,0,79,91,,1,2.9,1,0.0
fsm9_1,29,2,1,18,91,,1,3.1,5,0.0
fsm9_2,29,2,2,18,90,,1,2.9,2,0.0
fsm9_3,32,0,0,78,91,,1,1.8,1,0.0
fsm9_4,30,0,0,78,91,,1,1.5,1,0.0
grade,33,2,3,7,22,,1,4.1,1,0.1
other,34,1,2,19,26,,11,1.4,X,0.0
student1,40,2,2,126,168,,3,25.7,1,0.1
student2,40,1,2,122,150,,3,26.5,1,0.1
student2_1,44,2,2,72,156,,2,46.9,3,0.8
student3,45,1,1,135,188,,1,81.1,1,0.1
student3_1,44,3,2,121,184,,1,65.4,1,0.4
student4,40,1,2,118,146,,3,25.8,1,0.1
student5,42,1,2,160,188,,3,26.5,1,0.0
student6,42,0,0,148,157,,1,30.2,1,0.0
student6_1,42,0,0,148,157,,1,31.7,1,0.0
student6_2,41,2,1,119,152,,1,29.1,1,0.0
student6_3,42,2,1,107,152,,3,31.2,1,0.1
student7,41,2,1,95,136,,1,58.7,1,0.1
student7_1,40,1,1,110,135,,1,34.1,1,0.1
student8,43,1,1,119,166,,1,35,1,0.2
student9,44,2,2,72,153,,1,47.4,13,0.1
student10,43,2,1,110,155,,3,31.2,1,0.1
student11,42,2,1,127,177,,4,33.5,2,0.1
student12,40,2,2,114,157,,3,70.2,1,0.1
student12_1,44,3,3,78,161,,1,53.5,12,0.2
student13,43,1,1,123,174,,1,67.8,3,0.1
student14,44,0,0,149,158,,1,31.3,1,0.0
student14_1,44,0,0,149,158,,1,32,1,0.0
student14_2,43,2,1,120,153,,1,30.6,1,0.0
student14_3,44,2,2,108,153,,3,31.6,1,0.1
student15,41,2,1,106,161,,3,35.5,5,0.1
student16,39,2,2,119,137,,1,53.1,X,0.0
student16_1,39,2,2,115,133,,1,16.3,X,0.0
student16_2,47,2,4,74,136,,1,16.9,X,0.4
student16_3,43,2,2,71,133,,1,40.6,X,0.1
student17,41,2,1,119,151,,1,29.5,1,0.0
student17_1,42,2,1,106,151,,3,32.2,1,0.1
student18,40,1,2,131,162,,X,0.4,3,0.0
student18_1,40,2,2,118,160,,3,30.9,1,0.1
student18_2,49,1,3,85,160,,2,54.9,1,0.5
student19,40,1,2,141,169,,3,29.1,1,0.1
student19_1,50,2,3,106,175,,1,28,7,0.4
student19_2,44,1,3,81,174,,X,0.5,8,0.2
